p0,stable_density_mean,stable_density_se,margin_of_error
0.05,0.2416035,0.0010570097144455015,0.0020843772237359908
0.1143,0.24299900000000002,0.0010151698597875656,0.0020018708485328306
0.1786,0.241597,0.001101614600776159,0.0021723361212412314
0.2429,0.24159100000000003,0.0009090707580909642,0.0017926480306032354
0.3071,0.2403685,0.0010251779052619042,0.0020216062793010983
0.3714,0.242394,0.0010783652805946412,0.002126489472159938
0.4357,0.24373899999999998,0.0010001336066525206,0.0019722200107621882
0.5,0.24141550000000003,0.0010275418531866482,0.0020262678818815617
0.5643,0.241826,0.0009560203946437934,0.0018852306736537176
0.6286,0.2413545,0.000976194487351613,0.0019250131077931964
0.6929,0.24327800000000002,0.0009507527195166689,0.0018748430472138046
0.7571,0.2420315,0.0010235352513734053,0.002018367037215736
0.8214,0.24056850000000002,0.0010885137110970312,0.002146501736102986
0.8857,0.242337,0.001065657442107734,0.0021014301668924166
0.95,0.24103575129533678,0.0011954218688020313,0.002357845899663668
