p0,runs,total_time_s,time_per_run_s
0.05,200,6.3409,0.031704
0.1143,200,6.5826,0.032913
0.1786,200,6.5477,0.032739
0.2429,200,6.4604,0.032302
0.3071,200,6.4071,0.032035
0.3714,200,6.5087,0.032544
0.4357,200,6.4985,0.032492
0.5,200,6.4432,0.032216
0.5643,200,6.5275,0.032637
0.6286,200,6.4135,0.032068
0.6929,200,6.6273,0.033136
0.7571,200,6.6252,0.033126
0.8214,200,6.7774,0.033887
0.8857,200,6.822,0.03411
0.95,200,6.7006,0.033503
