p0,mean_N_clusters,mean_S_avg,mean_S_max,se_S_avg,se_S_max
0.05,152.69,27.1087,427.0,0.2379,12.2741
0.1143,152.35,26.978,433.415,0.2251,11.3278
0.1786,153.225,26.7875,406.39,0.2167,10.7851
0.2429,153.18,26.7491,426.685,0.2057,11.2697
0.3071,153.3,26.7843,422.685,0.2124,10.835
0.3714,150.79,27.3133,452.19,0.1905,11.3788
0.4357,152.81,26.8757,427.095,0.2244,11.8561
0.5,152.295,27.0081,450.215,0.209,12.9131
0.5643,152.33,27.0581,421.775,0.2341,11.3938
0.6286,151.14,27.3562,433.075,0.2442,11.3078
0.6929,152.25,27.0248,439.295,0.2043,13.2262
0.7571,151.465,27.2606,446.24,0.2104,11.7836
0.8214,154.04,26.7137,436.95,0.2286,12.0052
0.8857,151.935,26.9851,436.94,0.2079,13.1697
0.95,153.0694,26.8147,443.4451,0.2212,13.1224
