p0,runs,total_time_s,time_per_run_s
0.05,200,4.9691,0.024846
0.1143,200,5.3802,0.026901
0.1786,200,5.1564,0.025782
0.2429,200,5.2558,0.026279
0.3071,200,5.3338,0.026669
0.3714,200,5.2402,0.026201
0.4357,200,5.3026,0.026513
0.5,200,5.2854,0.026427
0.5643,200,5.2415,0.026208
0.6286,200,5.2944,0.026472
0.6929,200,5.856,0.02928
0.7571,200,5.7838,0.028919
0.8214,200,5.4991,0.027496
0.8857,200,5.1983,0.025991
0.95,200,5.1358,0.025679
