p0,mean_N_clusters,mean_S_avg,mean_S_max,se_S_avg,se_S_max
0.05,3.455,2884.2377,7684.56,121.6689,3.6897
0.1143,3.245,3243.4796,7683.745,144.6502,4.0396
0.1786,3.345,3057.3863,7686.53,131.6975,3.8922
0.2429,3.295,3078.4767,7682.47,132.7808,4.2539
0.3071,3.385,3041.2138,7674.885,132.9574,4.2157
0.3714,3.3,2902.8214,7685.475,114.1612,4.0958
0.4357,3.59,2745.3538,7684.555,115.8238,3.8966
0.5,3.405,3010.5767,7683.99,133.9601,4.1814
0.5643,3.375,3007.2723,7688.975,130.8764,4.4352
0.6286,3.325,2945.9319,7688.735,119.5579,4.2079
0.6929,3.36,2978.5285,7688.795,129.311,3.522
0.7571,3.42,2942.1789,7684.175,125.1192,4.1749
0.8214,3.405,2983.7354,7682.675,132.3621,3.8576
0.8857,3.335,3157.8482,7681.99,141.7568,3.9698
0.95,3.48,2911.0047,7683.315,127.9314,3.9754
