p0,runs,total_time_s,time_per_run_s
0.05,200,5.4772,0.027386
0.1143,200,5.4525,0.027263
0.1786,200,5.2218,0.026109
0.2429,200,5.2133,0.026066
0.3071,200,5.5567,0.027783
0.3714,200,5.5054,0.027527
0.4357,200,5.6018,0.028009
0.5,200,5.4728,0.027364
0.5643,200,5.7022,0.028511
0.6286,200,5.6217,0.028109
0.6929,200,5.4154,0.027077
0.7571,200,5.4399,0.027199
0.8214,200,5.596,0.02798
0.8857,200,5.3755,0.026878
0.95,200,5.3972,0.026986
