p0,stable_density_mean,stable_density_se,margin_of_error
0.05,0.768865,0.0003601965892600499,0.0007102920214076667
0.1143,0.768691,0.0003992324230798284,0.0007872689893688108
0.1786,0.7690025,0.00038558018510515907,0.0007603473693510114
0.2429,0.7686115000000001,0.0004215633607008879,0.0008313046279498841
0.3071,0.767846,0.0004137570476407161,0.0008159109178244188
0.3714,0.768878,0.0004047309174969087,0.000798111781418091
0.4357,0.7688735,0.00038538532404588255,0.0007599631118099518
0.5,0.7687434999999999,0.00041384007392218517,0.0008160746420435064
0.5643,0.7692665000000001,0.000437378713985073,0.0008624918173582491
0.6286,0.7692140000000001,0.00041753707144414227,0.0008233649605010035
0.6929,0.7692195000000001,0.0003473501249409341,0.0006849593520231199
0.7571,0.7687855,0.0004109563533659742,0.0008103880704208997
0.8214,0.7686215,0.0003808657669206571,0.0007510507415597545
0.8857,0.768535,0.00039473911618845986,0.0007784083834390556
0.95,0.7686885000000001,0.00039186782300096795,0.0007727463180475223
